Step,AgentID,State,Health,Row,Col,Age,Risk,Strategy,FamilyID,EscapeStep,CellsTraversed,HazardCellsCrossed,StepsInSmoke,StepsInFire,CommsReceived,RescueCompleted,ExitChosen_r,ExitChosen_c
4,1,rescuing,100,2,10,60,0.1754606371935058,safest_exit,1.0,-1,3,0,0,0,2,False,1,18
4,10,evacuating,100,1,7,45,0.45889083826650556,nearest_exit,2.0,-1,2,0,0,0,1,False,1,18
5,17,rescuing,100,2,9,23,0.11180628519652043,least_crowded_exit,2.0,-1,3,0,0,0,0,False,14,1
5,12,evacuating,100,13,18,77,0.29984515830568037,nearest_exit,,-1,1,0,0,0,4,False,14,18
5,18,rescuing,100,10,3,72,0.8410935864065021,least_crowded_exit,1.0,-1,4,0,0,0,3,False,14,1
5,23,evacuating,98,6,1,42,0.10172430268114115,safest_exit,1.0,-1,3,2,3,0,1,False,14,1
5,4,escaped,100,14,1,61,0.6832606795678805,nearest_exit,,4,2,0,0,0,3,False,14,1
5,5,aware,100,8,11,59,0.6227643906126332,least_crowded_exit,5.0,-1,3,0,0,0,4,True,14,1
5,14,evacuating,100,10,11,53,0.7890792838094645,safest_exit,,-1,2,0,0,0,2,False,14,18
5,9,rescuing,100,3,9,52,0.25327205771332323,least_crowded_exit,0.0,-1,1,0,0,0,2,False,14,1
5,6,evacuating,100,1,17,43,0.17873429692156712,safest_exit,0.0,-1,2,0,0,0,3,False,1,18
5,29,evacuating,98,8,1,30,0.4893371293234636,nearest_exit,,-1,3,1,2,0,1,False,14,1
5,20,evacuating,100,8,3,31,0.4885129003605748,least_crowded_exit,,-1,3,0,0,0,1,False,14,1
5,0,escaped,100,1,18,30,0.7459975982133148,least_crowded_exit,5.0,3,2,0,0,0,3,False,1,18
5,22,evacuating,100,13,14,42,0.14690831997774315,safest_exit,,-1,3,0,0,0,4,False,14,18
5,13,evacuating,100,2,15,69,0.1603079106994315,least_crowded_exit,,-1,1,0,0,0,2,False,1,18
5,7,evacuating,100,14,13,69,0.6825708707529461,safest_exit,,-1,1,0,0,0,4,False,14,18
5,2,dead,0,5,2,45,0.44484094592510204,safest_exit,,-1,0,0,0,2,1,False,1,18
5,19,evacuating,100,12,1,44,0.28910359243339956,least_crowded_exit,,-1,2,0,0,0,1,False,14,1
5,24,evacuating,100,12,14,68,0.31216244653772157,nearest_exit,5.0,-1,1,0,0,0,3,True,14,18
5,11,evacuating,100,12,7,47,0.24679042862978662,safest_exit,,-1,2,0,0,0,1,False,14,1
5,15,rescuing,100,3,15,59,0.1783269825612803,safest_exit,4.0,-1,4,0,0,0,3,False,14,18
5,1,rescuing,100,2,10,60,0.1754606371935058,safest_exit,1.0,-1,3,0,0,0,2,False,1,18
5,28,evacuating,100,5,15,63,0.5446146587244945,nearest_exit,,-1,2,0,0,0,3,False,1,18
5,16,evacuating,100,1,8,71,0.8994259747301813,nearest_exit,4.0,-1,1,0,0,0,1,False,1,18
5,10,evacuating,100,1,7,45,0.45889083826650556,nearest_exit,2.0,-1,2,0,0,0,1,False,1,18
